EXXENO(TM) Configuration Polling Utility
Version=, 1.0
Conffile=, Interrogator.SuperHeat_LiveValues.conf
Controller Name=, Rack A
IP Address=, 10.80.100.19,

CellInstance,CellType,InstanceName,
180,1,14.15 TLC03AOC,
181,1,14.16 TOC04LIC,
182,1,15.01 TLC04LOC,
183,1,15.02 TLC04COC,
184,1,15.03 TLC04AOC,
185,1,15.04 TMC05GOC,
186,1,15.05 TMC05COC,
187,1,15.06 TMC05AOC,
188,1,15.07 TMC06GOC,
189,1,15.08 TMC06COC,
190,1,15.09 TMC06AOC,
191,1,15.10 TMC07GOC,
192,1,15.11 TMC07COC,
193,1,15.12 TMC07AOC,
194,1,15.13 TMC08GOC,
195,1,15.14 TMC08COC,
196,1,15.15 TMC08AOC,
197,1,15.16 TUF03LIC,
198,165,16AI_001,
199,165,16AI_002,
200,165,16AI_003,
201,165,16AI_004,
202,165,16AI_005,
203,165,16AI_006,
204,165,16AI_007,
205,165,16AI_008,
206,165,16AI_009,
207,165,16AI_010,
208,165,16AI_011,
209,165,16AI_012,
210,165,16AI_013,
211,165,16AI_014,
212,165,16AI_015,
213,32,2.1 PUMP P1,
214,32,2.2 PUMP P2,
215,94,404A DIS TEMP,
216,94,404A LIQ HDR T,
217,168,4AO_001,
218,168,4AO_002,
219,168,4AO_003,
220,166,8RO_001,
221,166,8RO_002,
222,166,8RO_003,
223,166,8RO_004,
224,166,8RO_005,
225,166,8RO_006,
226,166,8RO_007,
227,166,8RO_008,
228,166,8RO_009,
229,166,8RO_010,
230,236,ACCESS LOG,
231,226,ACCESS SERVICE,
232,225,ADVISORY SERV,
233,94,ANALOG SENS045,
234,234,Advisory Log,
235,73,BASE LOG,
236,129,CONDENSER A,
237,89,DEVICE SUMM,
238,94,DROP LEG PRESS,
239,95,DROP LEG PSI,
240,94,DROP LEG TEMP,
241,67,EVAC FAN,
242,126,FSD ZZ LAB,
243,162,G1 SUCT PSI+10,
244,94,G1 SUPERHEAT,
245,162,G2 SUCT PSI-30,
246,94,G2 SUPERHEAT,
247,96,G2C1 IDCM ALM,
248,162,G3 SUCT PSI-20,
249,227,GENERAL SERV,
250,91,GLOBAL DATA,
251,94,GLY FLOW TRANS,
252,94,GLY IN PSI,
253,77,HX01 SH_006,
254,77,HX03 SH_008,
255,77,HX03A SH009,
256,131,HX1,
257,131,HX3,
258,97,HX3 PSI TO TMP,
259,66,HX3 PUMPDOWN,
260,94,HX3 SUPERHEAT,
261,96,HX3 SYS SW,
262,77,HX3A SH_01,
263,131,HX4,
264,66,HX4 PUMPDOWN,
265,77,HX4 SH_001,
266,96,HX4 SYS SW,
267,94,HX5 RETURN PSI,
268,66,HX5 WF ENABLE,
269,94,HX5 WF OUT TMP,
270,141,IRLDS_001,
271,141,IRLDS_002,
272,171,ISD2 COMP_001,
273,171,ISD2 COMP_002,
274,67,KJ.TEST,
275,134,LAB ROOM,
276,131,LC-01 DX,
277,94,LC-01 REF TEMP,
278,94,LC-01 TEMP IN,
279,94,LC-01 TEMP OUT,
280,131,LC-02 DX,
281,94,LC-02 REF TEMP,
282,94,LC-02 TEMP IN,
283,94,LC-02 TEMP OUT,
284,131,LC-03 DX,
285,94,LC-03 REF TEMP,
286,94,LC-03 TEMP IN,
287,94,LC-03 TEMP OUT,
288,131,LC-04 DX,
289,94,LC-04 REF TEMP,
290,94,LC-04 TEMP IN,
291,94,LC-04 TEMP OUT,
292,77,LC01 SH_002,
293,77,LC02 SH_003,
294,77,LC03 SH_004,
295,77,LC04 SH_005,
296,67,LEAK ALARM,
297,65,LEAK DET 1,
298,65,LEAK DET 2,
299,94,LIQ HDR PSI+10,
300,73,LOG GROUP002,
301,131,MC 05 GLYCOL,
302,131,MC 06.07.08 GL,
303,80,MC 6-7.8.DEF,
304,131,MC-05 R744,
305,94,MC-05 TEMP 1,
306,94,MC-05 TEMP 2,
307,131,MC-06 R744,
308,94,MC-06 TEMP 1,
309,94,MC-06 TEMP 2,
310,131,MC-07 R744,
311,94,MC-07 TEMP 1,
312,94,MC-07 TEMP 2,
313,131,MC-08 R744,
314,94,MC-08 TEMP 1,
315,94,MC-08 TEMP 2,
316,158,MFLEX ESR_001,
317,158,MFLEX ESR_002,
318,158,MFLEX ESR_003,
319,224,NOTE PAD,
320,230,NV HANDLER,
321,229,NetworkService,
322,66,ODV,
323,80,ODV ENABLE,
324,67,OFFICE FAN,
325,96,OIL FAIL,
326,80,OIL PUMP ENABL,
327,94,OMS IN PSI,
328,94,OMS IN TEMP,
329,94,OMS OUT PSI,
330,94,OMS OUT TEMP,
331,103,ONBOARD IO001,
332,237,OVERRIDE LOG,
333,96,PDI 404A,
334,131,PUMP 1,
335,67,PUMP P1 CNTRL,
336,95,PUMP P1 SPEED,
337,67,PUMP P2 CNTRL,
338,95,PUMP P2 SPEED,
339,94,PV03 LLVL,
340,97,PV2 PSI TO TMP,
341,86,PWR MON G1 C3,
342,86,PWR MON G1-C1,
343,86,PWR MON G1-C2,
344,86,PWR MON G2-C1,
345,86,PWR MON G2-C2,
346,86,PWR MON G3-C1,
347,86,PWR MON G3-C2,
348,86,PWR MON G3-C3,
349,86,PWR MON RACK,
350,233,REMOTE DIAL,
351,74,Rack A,
352,67,SYS 05-08 SW,
353,228,TIME SERVICES,
354,131,UC-05 R744,
355,131,UC-06 GL,
356,94,UC-06 TEMP IN,
357,94,UC-06 TEMP OUT,
358,131,UC-07 GL,
359,94,UC-07 TEMP IN,
360,94,UC-07 TEMP OUT,
361,131,UC-08,
362,94,UC-08 TEMP IN,
363,94,UC-08 TEMP OUT,
364,131,UC-09,
365,94,UC-09 TEMP IN,
366,94,UC-09 TEMP OUT,
367,131,UF01/02 DX,
368,94,WI CLR HT,
369,94,WI FZR HT,
370,308,XEV22D001,
371,308,XEV22D002,
372,379,Zero Zone001,


CellType,77, Record # 0,

Instance=,0,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,1,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,2,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,3,Reg=,2048,Cfg.value=,0,Stat.value=,Offline
Instance=,4,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,5,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,6,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,7,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,8,Reg=,2048,Cfg.value=,0,Stat.value=,Online
Instance=,0,Reg=,2049,Cfg.value=,32.00,Stat.value=,49.00
Instance=,1,Reg=,2049,Cfg.value=,32.00,Stat.value=,2.00
Instance=,2,Reg=,2049,Cfg.value=,32.00,Stat.value=,6.00
Instance=,3,Reg=,2049,Cfg.value=,32.00,Stat.value=,NONE
Instance=,4,Reg=,2049,Cfg.value=,32.00,Stat.value=,19.00
Instance=,5,Reg=,2049,Cfg.value=,32.00,Stat.value=,10.00
Instance=,6,Reg=,2049,Cfg.value=,32.00,Stat.value=,69.00
Instance=,7,Reg=,2049,Cfg.value=,32.00,Stat.value=,68.00
Instance=,8,Reg=,2049,Cfg.value=,32.00,Stat.value=,67.00
Instance=,0,Reg=,2050,Cfg.value=,0,Stat.value=,55.00
Instance=,1,Reg=,2050,Cfg.value=,0,Stat.value=,89.00
Instance=,2,Reg=,2050,Cfg.value=,0,Stat.value=,89.00
Instance=,3,Reg=,2050,Cfg.value=,0,Stat.value=,NONE
Instance=,4,Reg=,2050,Cfg.value=,0,Stat.value=,104.00
Instance=,5,Reg=,2050,Cfg.value=,0,Stat.value=,0
Instance=,6,Reg=,2050,Cfg.value=,0,Stat.value=,270.00
Instance=,7,Reg=,2050,Cfg.value=,0,Stat.value=,272.00
Instance=,8,Reg=,2050,Cfg.value=,0,Stat.value=,274.00
Instance=,0,Reg=,2051,Cfg.value=,32.00,Stat.value=,20.00
Instance=,1,Reg=,2051,Cfg.value=,32.00,Stat.value=,53.00
Instance=,2,Reg=,2051,Cfg.value=,32.00,Stat.value=,53.00
Instance=,3,Reg=,2051,Cfg.value=,32.00,Stat.value=,NONE
Instance=,4,Reg=,2051,Cfg.value=,32.00,Stat.value=,50.00
Instance=,5,Reg=,2051,Cfg.value=,32.00,Stat.value=,-70.00
Instance=,6,Reg=,2051,Cfg.value=,32.00,Stat.value=,-4.00
Instance=,7,Reg=,2051,Cfg.value=,32.00,Stat.value=,-4.00
Instance=,8,Reg=,2051,Cfg.value=,32.00,Stat.value=,-4.00
Instance=,0,Reg=,2052,Cfg.value=,32.00,Stat.value=,69.00
Instance=,1,Reg=,2052,Cfg.value=,32.00,Stat.value=,55.00
Instance=,2,Reg=,2052,Cfg.value=,32.00,Stat.value=,59.00
Instance=,3,Reg=,2052,Cfg.value=,32.00,Stat.value=,NONE
Instance=,4,Reg=,2052,Cfg.value=,32.00,Stat.value=,69.00
Instance=,5,Reg=,2052,Cfg.value=,32.00,Stat.value=,NONE
Instance=,6,Reg=,2052,Cfg.value=,32.00,Stat.value=,65.00
Instance=,7,Reg=,2052,Cfg.value=,32.00,Stat.value=,64.00
Instance=,8,Reg=,2052,Cfg.value=,32.00,Stat.value=,64.00
Instance=,0,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,1,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,2,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,3,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,4,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,5,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,6,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,7,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,8,Reg=,2053,Cfg.value=,32.00,Stat.value=,NONE
Instance=,0,Reg=,2054,Cfg.value=,0,Stat.value=,0
Instance=,1,Reg=,2054,Cfg.value=,0,Stat.value=,0
Instance=,2,Reg=,2054,Cfg.value=,0,Stat.value=,100.00
Instance=,3,Reg=,2054,Cfg.value=,0,Stat.value=,NONE
Instance=,4,Reg=,2054,Cfg.value=,0,Stat.value=,0
Instance=,5,Reg=,2054,Cfg.value=,0,Stat.value=,0
Instance=,6,Reg=,2054,Cfg.value=,0,Stat.value=,0
Instance=,7,Reg=,2054,Cfg.value=,0,Stat.value=,0
Instance=,8,Reg=,2054,Cfg.value=,0,Stat.value=,0
Instance=,0,Reg=,2055,Cfg.value=,32.00,Stat.value=,150.00
Instance=,1,Reg=,2055,Cfg.value=,32.00,Stat.value=,150.00
Instance=,2,Reg=,2055,Cfg.value=,32.00,Stat.value=,NONE
Instance=,3,Reg=,2055,Cfg.value=,32.00,Stat.value=,NONE
Instance=,4,Reg=,2055,Cfg.value=,32.00,Stat.value=,150.00
Instance=,5,Reg=,2055,Cfg.value=,32.00,Stat.value=,150.00
Instance=,6,Reg=,2055,Cfg.value=,32.00,Stat.value=,150.00
Instance=,7,Reg=,2055,Cfg.value=,32.00,Stat.value=,150.00
Instance=,8,Reg=,2055,Cfg.value=,32.00,Stat.value=,150.00
Instance=,0,Reg=,2056,Cfg.value=,0,Stat.value=,OFF
Instance=,1,Reg=,2056,Cfg.value=,0,Stat.value=,OFF
Instance=,2,Reg=,2056,Cfg.value=,0,Stat.value=,ON
Instance=,3,Reg=,2056,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2056,Cfg.value=,0,Stat.value=,OFF
Instance=,5,Reg=,2056,Cfg.value=,0,Stat.value=,OFF
Instance=,6,Reg=,2056,Cfg.value=,0,Stat.value=,OFF
Instance=,7,Reg=,2056,Cfg.value=,0,Stat.value=,OFF
Instance=,8,Reg=,2056,Cfg.value=,0,Stat.value=,OFF
Instance=,0,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,1,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,2,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,3,Reg=,2057,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,5,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,6,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,7,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,8,Reg=,2057,Cfg.value=,0,Stat.value=,..
Instance=,0,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,1,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,2,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,3,Reg=,2058,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,5,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,6,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,7,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,8,Reg=,2058,Cfg.value=,0,Stat.value=,..
Instance=,0,Reg=,2059,Cfg.value=,0,Stat.value=,..
Instance=,1,Reg=,2059,Cfg.value=,0,Stat.value=,..
Instance=,2,Reg=,2059,Cfg.value=,0,Stat.value=,ON
Instance=,3,Reg=,2059,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2059,Cfg.value=,0,Stat.value=,..
Instance=,5,Reg=,2059,Cfg.value=,0,Stat.value=,..
Instance=,6,Reg=,2059,Cfg.value=,0,Stat.value=,..
Instance=,7,Reg=,2059,Cfg.value=,0,Stat.value=,..
Instance=,8,Reg=,2059,Cfg.value=,0,Stat.value=,..
Instance=,0,Reg=,2060,Cfg.value=,0,Stat.value=,ON
Instance=,1,Reg=,2060,Cfg.value=,0,Stat.value=,ON
Instance=,2,Reg=,2060,Cfg.value=,0,Stat.value=,..
Instance=,3,Reg=,2060,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2060,Cfg.value=,0,Stat.value=,ON
Instance=,5,Reg=,2060,Cfg.value=,0,Stat.value=,ON
Instance=,6,Reg=,2060,Cfg.value=,0,Stat.value=,ON
Instance=,7,Reg=,2060,Cfg.value=,0,Stat.value=,ON
Instance=,8,Reg=,2060,Cfg.value=,0,Stat.value=,ON
Instance=,0,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,1,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,2,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,3,Reg=,2061,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,5,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,6,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,7,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,8,Reg=,2061,Cfg.value=,0,Stat.value=,..
Instance=,0,Reg=,2062,Cfg.value=,0,Stat.value=,OK
Instance=,1,Reg=,2062,Cfg.value=,0,Stat.value=,OK
Instance=,2,Reg=,2062,Cfg.value=,0,Stat.value=,OK
Instance=,3,Reg=,2062,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2062,Cfg.value=,0,Stat.value=,OK
Instance=,5,Reg=,2062,Cfg.value=,0,Stat.value=,FAIL
Instance=,6,Reg=,2062,Cfg.value=,0,Stat.value=,OK
Instance=,7,Reg=,2062,Cfg.value=,0,Stat.value=,OK
Instance=,8,Reg=,2062,Cfg.value=,0,Stat.value=,OK
Instance=,0,Reg=,2063,Cfg.value=,0,Stat.value=,OK
Instance=,1,Reg=,2063,Cfg.value=,0,Stat.value=,OK
Instance=,2,Reg=,2063,Cfg.value=,0,Stat.value=,OK
Instance=,3,Reg=,2063,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2063,Cfg.value=,0,Stat.value=,OK
Instance=,5,Reg=,2063,Cfg.value=,0,Stat.value=,FAIL
Instance=,6,Reg=,2063,Cfg.value=,0,Stat.value=,OK
Instance=,7,Reg=,2063,Cfg.value=,0,Stat.value=,OK
Instance=,8,Reg=,2063,Cfg.value=,0,Stat.value=,OK
Instance=,0,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,1,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,2,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,3,Reg=,2064,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,5,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,6,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,7,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,8,Reg=,2064,Cfg.value=,0,Stat.value=,OK
Instance=,0,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,1,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,2,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,3,Reg=,2065,Cfg.value=,0,Stat.value=,NOTACT
Instance=,4,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,5,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,6,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,7,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,8,Reg=,2065,Cfg.value=,0,Stat.value=,OK
Instance=,0,Reg=,2066,
Instance=,1,Reg=,2066,
Instance=,2,Reg=,2066,
Instance=,3,Reg=,2066,
Instance=,4,Reg=,2066,
Instance=,5,Reg=,2066,
Instance=,6,Reg=,2066,
Instance=,7,Reg=,2066,
Instance=,8,Reg=,2066,
Instance=,0,Reg=,2067,
Instance=,1,Reg=,2067,
Instance=,2,Reg=,2067,
Instance=,3,Reg=,2067,
Instance=,4,Reg=,2067,
Instance=,5,Reg=,2067,
Instance=,6,Reg=,2067,
Instance=,7,Reg=,2067,
Instance=,8,Reg=,2067,
Instance=,0,Reg=,2068,
Instance=,1,Reg=,2068,
Instance=,2,Reg=,2068,
Instance=,3,Reg=,2068,
Instance=,4,Reg=,2068,
Instance=,5,Reg=,2068,
Instance=,6,Reg=,2068,
Instance=,7,Reg=,2068,
Instance=,8,Reg=,2068,
Instance=,0,Reg=,2069,
Instance=,1,Reg=,2069,
Instance=,2,Reg=,2069,
Instance=,3,Reg=,2069,
Instance=,4,Reg=,2069,
Instance=,5,Reg=,2069,
Instance=,6,Reg=,2069,
Instance=,7,Reg=,2069,
Instance=,8,Reg=,2069,
Instance=,0,Reg=,2070,
Instance=,1,Reg=,2070,
Instance=,2,Reg=,2070,
Instance=,3,Reg=,2070,
Instance=,4,Reg=,2070,
Instance=,5,Reg=,2070,
Instance=,6,Reg=,2070,
Instance=,7,Reg=,2070,
Instance=,8,Reg=,2070,
Interrogation completed.
