"TestSystem","Test1Score","Test2Score","Test3Score","Test4Score","Score","Pass"
"System2","1","3","1","0","5","False"
"System1","2","3","3","2","10","False"
"System4","1","1","2","1","5","False"
"System9","0","3","2","2","7","False"
"System4","0","1","3","0","4","False"
"System5","2","0","0","1","3","False"
"System5","0","3","1","3","7","False"
"System5","1","2","0","0","3","False"
"System10","3","0","2","0","5","False"
"System5","3","1","0","1","5","False"
"System6","2","0","3","2","7","False"
"System2","3","0","0","0","3","False"
"System5","0","1","1","3","5","False"
"System8","0","3","1","3","7","False"
"System6","0","0","3","2","5","False"
"System10","1","1","2","3","7","False"
"System9","2","0","1","2","5","False"
"System3","1","3","3","1","8","False"
"System7","0","2","1","3","6","False"
"System4","1","2","3","1","7","False"
"System2","0","1","0","1","2","False"
"System10","1","0","2","3","6","False"
"System5","2","3","1","3","9","False"
"System2","2","1","0","3","6","False"
"System3","1","3","2","0","6","False"
"System10","1","2","3","1","7","False"
"System7","1","0","1","1","3","False"
"System7","3","1","0","3","7","False"
"System10","2","0","3","1","6","False"
"System6","3","1","0","0","4","False"
"System9","2","2","0","3","7","False"
"System2","2","0","1","3","6","False"
"System3","1","0","2","0","3","False"
"System10","3","1","1","1","6","False"
"System10","1","2","3","2","8","False"
"System3","0","1","0","1","2","False"
"System7","3","3","0","0","6","False"
"System6","2","1","0","2","5","False"
"System5","0","2","1","0","3","False"
"System4","3","3","3","3","12","False"
"System5","3","0","0","2","5","False"
"System9","2","2","0","3","7","False"
"System8","1","0","2","2","5","False"
"System5","0","1","0","3","4","False"
"System4","1","3","1","0","5","False"
"System5","2","1","0","1","4","False"
"System3","2","1","0","0","3","False"
"System1","0","3","0","0","3","False"
"System5","3","2","2","1","8","False"
"System10","2","1","0","0","3","False"
"System10","2","1","3","3","9","False"
"System10","3","2","2","2","9","False"
"System7","3","3","0","3","9","False"
"System3","2","2","1","0","5","False"
"System1","0","3","3","1","7","False"
"System9","1","3","0","0","4","False"
"System4","0","0","3","3","6","False"
"System1","3","3","3","1","10","False"
"System6","3","1","3","1","8","False"
"System10","2","3","0","0","5","False"
"System1","3","3","0","1","7","False"
"System4","3","0","0","0","3","False"
"System7","2","3","3","2","10","False"
"System8","2","0","3","3","8","False"
"System3","0","1","3","1","5","False"
"System6","3","0","2","1","6","False"
"System9","0","2","1","3","6","False"
"System3","1","3","2","3","9","False"
"System1","0","3","2","1","6","False"
"System9","3","1","1","2","7","False"
"System8","0","3","1","2","6","False"
"System8","0","1","2","3","6","False"
"System3","2","3","1","0","6","False"
"System5","3","2","2","2","9","False"
"System5","3","1","1","2","7","False"
"System3","2","3","1","1","7","False"
"System5","2","0","0","0","2","False"
"System5","3","0","3","3","9","False"
"System5","2","1","0","3","6","False"
"System2","1","3","3","3","10","False"
"System3","1","3","2","0","6","False"
"System7","3","3","2","1","9","False"
"System4","2","0","2","1","5","False"
"System1","2","0","1","2","5","False"
"System9","2","0","2","1","5","False"
"System1","1","3","0","1","5","False"
"System6","1","1","0","0","2","False"
"System1","2","0","2","3","7","False"
"System5","3","1","0","3","7","False"
"System7","2","2","3","3","10","False"
"System2","0","3","3","3","9","False"
"System6","1","0","0","2","3","False"
"System5","2","2","0","2","6","False"
"System6","3","2","3","2","10","False"
"System2","0","0","0","3","3","False"
"System6","3","3","1","2","9","False"
"System8","0","1","0","3","4","False"
"System3","2","1","0","2","5","False"
"System6","1","1","2","3","7","False"
"System2","0","1","2","2","5","False"
"System3","1","3","2","2","8","False"
"System3","1","2","0","1","4","False"
"System5","3","1","3","0","7","False"
"System2","1","1","1","2","5","False"
"System6","2","1","1","0","4","False"
"System6","0","1","3","0","4","False"
"System8","0","2","2","3","7","False"
"System6","2","1","2","1","6","False"
"System3","1","1","2","0","4","False"
"System6","2","1","3","2","8","False"
"System4","3","1","2","1","7","False"
"System2","2","0","3","1","6","False"
"System6","3","2","0","0","5","False"
"System5","0","3","0","1","4","False"
"System6","3","2","0","0","5","False"
"System5","0","3","3","3","9","False"
"System10","0","1","2","3","6","False"
"System5","1","1","0","0","2","False"
"System10","0","3","2","0","5","False"
"System7","2","3","2","1","8","False"
"System2","2","0","2","1","5","False"
"System10","0","2","3","1","6","False"
"System9","1","2","3","2","8","False"
"System3","0","1","2","2","5","False"
"System8","3","3","2","2","10","False"
"System4","2","2","0","3","7","False"
"System8","3","2","2","0","7","False"
"System2","0","0","3","0","3","False"
"System9","1","0","0","0","1","False"
"System2","1","2","2","0","5","False"
"System8","1","2","1","1","5","False"
"System3","3","3","1","2","9","False"
"System2","3","0","2","2","7","False"
"System7","3","2","1","1","7","False"
"System4","0","0","0","3","3","False"
"System10","0","2","2","3","7","False"
"System2","1","1","1","3","6","False"
"System8","3","1","3","1","8","False"
"System4","3","2","2","2","9","False"
"System5","3","2","1","2","8","False"
"System5","1","3","0","1","5","False"
"System10","1","1","2","3","7","False"
"System10","2","2","3","2","9","False"
"System6","2","0","3","0","5","False"
"System10","2","0","1","0","3","False"
"System2","2","0","2","0","4","False"
"System8","2","0","2","1","5","False"
"System7","1","1","0","1","3","False"
"System1","3","0","1","3","7","False"
"System10","3","2","1","3","9","False"
"System8","0","0","0","0","0","True"
"System2","1","1","3","0","5","False"
"System3","1","3","3","3","10","False"
"System7","3","2","3","1","9","False"
"System8","1","3","3","2","9","False"
"System6","3","0","3","3","9","False"
"System9","1","3","0","2","6","False"
"System3","3","2","0","0","5","False"
"System6","2","3","2","1","8","False"
"System1","0","0","1","0","1","False"
"System7","2","2","0","3","7","False"
"System7","0","3","3","1","7","False"
"System3","3","0","1","3","7","False"
"System7","1","3","3","3","10","False"
"System10","3","3","0","2","8","False"
"System3","2","0","0","1","3","False"
"System3","0","0","1","1","2","False"
"System9","0","0","3","0","3","False"
"System2","0","1","1","1","3","False"
"System2","3","0","1","3","7","False"
"System9","0","3","1","2","6","False"
"System6","1","3","2","1","7","False"
"System5","0","0","3","3","6","False"
"System9","0","1","3","2","6","False"
"System8","1","3","0","0","4","False"
"System1","2","0","1","1","4","False"
"System6","2","3","3","0","8","False"
"System2","3","3","1","1","8","False"
"System4","3","3","0","2","8","False"
"System2","3","3","0","2","8","False"
"System10","2","2","2","0","6","False"
"System4","1","1","1","2","5","False"
"System5","2","2","3","2","9","False"
"System9","2","1","3","2","8","False"
"System6","3","1","0","2","6","False"
"System2","0","1","1","0","2","False"
"System5","0","2","2","3","7","False"
"System8","0","1","2","2","5","False"
"System7","2","1","3","1","7","False"
"System8","1","3","0","1","5","False"
"System1","0","3","1","3","7","False"
"System2","3","1","0","3","7","False"
"System1","3","0","1","1","5","False"
"System8","1","3","1","2","7","False"
"System3","2","3","3","0","8","False"
"System6","0","3","0","2","5","False"
"System7","2","3","0","0","5","False"
"System4","1","1","3","3","8","False"
"System10","0","1","3","0","4","False"
"System6","3","2","2","0","7","False"
"System8","0","1","1","0","2","False"
"System10","0","3","3","1","7","False"
"System1","2","3","1","1","7","False"
"System9","2","1","0","1","4","False"
"System9","3","3","2","2","10","False"
"System3","1","2","3","2","8","False"
"System10","0","3","1","2","6","False"
"System10","3","3","1","1","8","False"
"System5","1","0","0","0","1","False"
"System9","3","3","3","0","9","False"
"System7","3","0","1","0","4","False"
"System2","0","3","1","2","6","False"
"System4","3","3","0","2","8","False"
"System5","0","3","1","3","7","False"
"System2","1","0","1","2","4","False"
"System5","3","0","0","1","4","False"
"System4","2","0","2","2","6","False"
"System8","2","3","3","0","8","False"
"System6","3","1","0","3","7","False"
"System2","3","2","3","3","11","False"
"System2","1","0","3","0","4","False"
"System3","1","2","3","1","7","False"
"System5","3","2","2","3","10","False"
"System1","2","0","2","1","5","False"
"System10","1","3","3","2","9","False"
"System6","3","3","3","3","12","False"
"System4","2","0","0","2","4","False"
"System5","0","3","0","2","5","False"
"System1","3","2","2","0","7","False"
"System9","0","0","0","3","3","False"
"System1","2","0","0","0","2","False"
"System4","3","2","3","1","9","False"
"System4","1","2","0","2","5","False"
"System7","3","3","1","3","10","False"
"System5","1","0","0","2","3","False"
"System7","3","1","2","0","6","False"
"System10","1","2","1","1","5","False"
"System4","3","2","2","0","7","False"
"System3","0","0","1","2","3","False"
"System9","2","1","1","2","6","False"
"System4","0","0","3","0","3","False"
"System9","3","1","3","0","7","False"
"System1","0","1","0","1","2","False"
"System6","1","0","0","1","2","False"
"System6","1","0","3","2","6","False"
"System3","2","1","2","2","7","False"
"System5","2","0","2","3","7","False"
"System4","0","0","1","2","3","False"
"System6","1","1","3","2","7","False"
"System8","0","1","2","1","4","False"
"System8","0","3","1","2","6","False"
"System4","2","2","3","2","9","False"
"System8","2","0","2","0","4","False"
"System3","2","3","0","1","6","False"
"System2","0","2","2","0","4","False"
"System2","3","3","0","2","8","False"
"System4","1","3","2","0","6","False"
"System10","2","3","3","0","8","False"
"System7","0","2","3","0","5","False"
"System8","2","0","1","1","4","False"
"System1","1","0","2","1","4","False"
"System7","1","0","2","1","4","False"
"System2","3","2","0","0","5","False"
"System9","2","2","0","3","7","False"
"System10","3","0","0","3","6","False"
"System6","3","3","3","3","12","False"
"System6","0","3","2","0","5","False"
"System4","1","3","3","2","9","False"
"System9","0","1","2","2","5","False"
"System9","1","1","2","1","5","False"
"System6","1","2","0","0","3","False"
"System7","3","1","0","3","7","False"
"System4","2","2","1","0","5","False"
"System4","3","1","1","3","8","False"
"System5","0","0","3","1","4","False"
"System10","1","1","0","3","5","False"
"System3","3","1","3","0","7","False"
"System8","2","3","1","1","7","False"
"System3","2","1","3","0","6","False"
"System10","1","2","1","1","5","False"
"System1","0","0","0","0","0","True"
"System3","3","2","0","1","6","False"
"System8","3","1","0","3","7","False"
"System10","1","2","3","1","7","False"
"System4","3","3","1","3","10","False"
"System8","0","0","0","0","0","True"
"System1","2","0","0","0","2","False"
"System2","3","0","1","0","4","False"
"System7","1","0","2","3","6","False"
"System1","2","1","0","2","5","False"
"System4","0","0","1","0","1","False"
"System5","3","3","3","0","9","False"
"System1","2","0","1","3","6","False"
"System8","2","2","1","2","7","False"
"System3","0","2","3","0","5","False"
"System7","2","0","2","1","5","False"
"System3","0","3","2","0","5","False"
"System1","0","3","1","3","7","False"
"System1","3","2","2","0","7","False"
"System8","0","0","1","3","4","False"
"System5","0","3","2","1","6","False"
"System9","3","1","0","0","4","False"
"System8","0","3","2","0","5","False"
"System4","2","2","2","0","6","False"
"System8","3","0","0","3","6","False"
"System6","3","0","2","3","8","False"
"System4","2","3","0","2","7","False"
"System10","1","2","3","0","6","False"
"System10","1","0","1","0","2","False"
"System10","2","1","0","2","5","False"
"System5","2","1","2","0","5","False"
"System3","3","2","3","2","10","False"
"System9","3","2","1","3","9","False"
"System6","3","2","2","0","7","False"
"System6","2","1","2","2","7","False"
"System1","2","3","1","0","6","False"
"System7","3","1","0","3","7","False"
"System10","2","3","0","1","6","False"
"System4","0","2","0","0","2","False"
"System4","3","3","3","1","10","False"
"System8","3","3","0","0","6","False"
"System6","1","2","2","2","7","False"
"System5","3","3","0","2","8","False"
"System9","3","1","1","1","6","False"
"System5","3","1","2","3","9","False"
"System3","3","0","1","2","6","False"
"System6","2","3","0","1","6","False"
"System7","2","1","1","0","4","False"
"System7","1","0","0","2","3","False"
"System9","1","1","0","2","4","False"
"System2","1","1","3","1","6","False"
"System4","1","0","1","3","5","False"
"System4","1","2","0","0","3","False"
"System3","0","0","1","3","4","False"
"System3","2","0","1","2","5","False"
"System8","1","2","2","0","5","False"
"System8","2","0","1","2","5","False"
"System7","0","2","3","0","5","False"
"System7","3","1","0","2","6","False"
"System8","2","2","2","0","6","False"
"System4","0","1","3","1","5","False"
"System7","3","2","3","3","11","False"
"System2","2","1","0","3","6","False"
"System9","0","1","0","1","2","False"
"System3","1","1","0","3","5","False"
"System1","3","3","0","1","7","False"
"System1","3","1","1","0","5","False"
"System1","3","1","1","3","8","False"
"System10","2","2","2","3","9","False"
"System1","0","1","0","2","3","False"
"System6","3","1","0","2","6","False"
"System9","3","1","0","1","5","False"
"System2","3","1","2","3","9","False"
"System9","0","1","2","0","3","False"
"System8","1","0","1","2","4","False"
"System4","0","2","1","2","5","False"
"System3","1","3","1","2","7","False"
"System1","2","1","1","3","7","False"
"System9","3","1","3","1","8","False"
"System5","2","1","3","0","6","False"
"System10","2","3","3","1","9","False"
"System5","2","3","2","0","7","False"
"System9","0","1","3","3","7","False"
"System10","3","0","1","0","4","False"
"System2","3","3","3","1","10","False"
"System1","0","3","3","3","9","False"
"System6","1","0","3","1","5","False"
"System3","1","1","0","3","5","False"
"System2","3","1","2","3","9","False"
"System5","3","0","0","1","4","False"
"System7","2","2","2","1","7","False"
"System9","3","0","1","0","4","False"
"System2","2","1","1","0","4","False"
"System6","3","2","2","1","8","False"
"System1","0","1","3","0","4","False"
"System6","2","0","2","2","6","False"
"System7","0","2","1","3","6","False"
"System6","3","3","2","1","9","False"
"System7","0","1","2","3","6","False"
"System10","1","1","2","2","6","False"
"System6","1","1","3","3","8","False"
"System7","0","0","2","3","5","False"
"System10","3","0","2","2","7","False"
"System2","2","1","1","1","5","False"
"System8","0","2","0","1","3","False"
"System2","2","0","0","1","3","False"
"System7","1","2","2","0","5","False"
"System6","0","1","3","2","6","False"
"System2","0","0","3","1","4","False"
"System3","2","2","1","3","8","False"
"System6","0","2","3","0","5","False"
"System6","1","0","2","3","6","False"
"System1","2","0","0","2","4","False"
"System5","2","3","3","1","9","False"
"System7","3","3","3","1","10","False"
"System5","0","3","2","0","5","False"
"System5","3","1","0","3","7","False"
"System8","3","2","3","1","9","False"
"System7","3","3","3","3","12","False"
"System5","2","0","2","1","5","False"
"System5","2","3","1","3","9","False"
"System2","3","1","3","3","10","False"
"System6","3","0","1","1","5","False"
"System5","1","2","1","1","5","False"
"System4","0","0","2","1","3","False"
"System10","0","2","2","0","4","False"
"System6","1","0","2","1","4","False"
"System8","1","0","1","1","3","False"
"System8","0","1","1","3","5","False"
"System9","2","3","2","0","7","False"
"System5","2","3","2","0","7","False"
"System3","0","0","0","2","2","False"
"System2","3","2","0","1","6","False"
"System2","0","1","3","2","6","False"
"System6","1","1","3","3","8","False"
"System3","3","2","0","1","6","False"
"System7","1","2","3","2","8","False"
"System4","0","3","1","1","5","False"
"System4","1","3","0","1","5","False"
"System8","3","2","0","1","6","False"
"System3","1","2","2","0","5","False"
"System9","3","1","2","1","7","False"
"System9","0","1","3","1","5","False"
"System6","3","2","3","2","10","False"
"System7","1","1","3","1","6","False"
"System9","3","3","3","3","12","False"
"System7","3","2","0","0","5","False"
"System2","1","3","3","3","10","False"
"System4","2","1","0","3","6","False"
"System10","1","3","1","1","6","False"
"System7","3","0","0","3","6","False"
"System2","1","2","1","0","4","False"
"System5","3","3","3","3","12","False"
"System9","0","1","0","1","2","False"
"System8","3","1","2","3","9","False"
"System10","3","2","1","1","7","False"
"System5","0","0","2","3","5","False"
"System3","3","3","1","2","9","False"
"System7","2","2","2","2","8","False"
"System1","3","2","0","3","8","False"
"System1","0","3","0","2","5","False"
"System9","2","3","1","3","9","False"
"System9","1","0","1","0","2","False"
"System8","0","1","0","2","3","False"
"System9","1","0","0","2","3","False"
"System9","0","0","0","3","3","False"
"System1","3","1","1","1","6","False"
"System5","0","3","2","3","8","False"
"System10","0","0","1","3","4","False"
"System2","3","2","0","0","5","False"
"System5","3","2","3","0","8","False"
"System6","3","0","0","0","3","False"
"System6","0","1","0","3","4","False"
"System5","3","0","0","2","5","False"
"System1","3","1","3","2","9","False"
"System9","3","0","1","0","4","False"
"System4","3","0","0","0","3","False"
"System5","0","3","2","0","5","False"
"System8","0","3","2","1","6","False"
"System4","1","3","3","3","10","False"
"System4","1","2","0","2","5","False"
"System2","0","3","1","2","6","False"
"System5","2","1","2","3","8","False"
"System1","2","2","1","2","7","False"
"System3","2","2","2","1","7","False"
"System8","1","2","1","0","4","False"
"System3","0","0","0","0","0","True"
"System3","0","0","3","1","4","False"
"System2","0","3","2","0","5","False"
"System1","3","1","2","3","9","False"
"System3","1","1","1","3","6","False"
"System2","1","1","3","3","8","False"
"System10","2","3","0","1","6","False"
"System6","0","1","0","3","4","False"
"System4","0","1","2","2","5","False"
"System1","3","0","0","1","4","False"
"System4","1","3","0","1","5","False"
"System9","0","2","3","3","8","False"
"System10","0","1","2","2","5","False"
"System10","3","1","1","2","7","False"
"System9","2","2","0","3","7","False"
"System3","3","0","2","1","6","False"
"System3","3","1","3","3","10","False"
"System9","3","1","3","1","8","False"
"System7","1","0","3","2","6","False"
"System7","2","3","3","0","8","False"
"System1","1","1","2","3","7","False"
"System5","0","1","1","3","5","False"
"System10","1","0","3","1","5","False"
"System10","1","3","0","2","6","False"
"System1","1","0","1","2","4","False"
"System4","2","2","0","1","5","False"
"System4","3","1","0","3","7","False"
"System3","1","0","2","3","6","False"
"System6","0","2","3","0","5","False"
"System6","2","3","3","1","9","False"
"System3","1","2","0","2","5","False"
"System2","2","0","2","3","7","False"
"System5","2","0","1","2","5","False"
"System3","0","3","0","1","4","False"
"System9","1","2","0","2","5","False"
"System8","1","1","2","1","5","False"
"System4","1","0","2","0","3","False"
"System10","1","1","2","0","4","False"
"System8","0","0","2","1","3","False"
"System10","3","2","2","3","10","False"
"System5","0","3","0","3","6","False"
"System4","0","0","3","3","6","False"
"System2","0","3","0","1","4","False"
"System5","1","2","1","2","6","False"
"System10","3","3","3","3","12","False"
"System5","3","3","3","2","11","False"
"System3","3","3","1","1","8","False"
"System8","2","0","0","0","2","False"
"System5","3","3","0","3","9","False"
"System1","2","3","2","1","8","False"
"System5","3","0","0","2","5","False"
"System2","3","1","2","0","6","False"
"System8","2","1","3","2","8","False"
"System9","1","2","1","1","5","False"
"System8","3","3","0","2","8","False"
"System3","0","1","2","2","5","False"
"System10","1","3","1","0","5","False"
"System4","3","2","3","0","8","False"
"System2","2","3","2","3","10","False"
"System1","1","2","2","3","8","False"
"System10","1","3","1","1","6","False"
"System2","2","0","3","0","5","False"
"System1","2","0","1","0","3","False"
"System10","0","1","0","1","2","False"
"System3","2","1","2","3","8","False"
"System6","3","1","0","0","4","False"
"System5","0","2","2","1","5","False"
"System7","3","3","3","3","12","False"
"System10","1","2","1","3","7","False"
"System6","0","2","3","2","7","False"
"System7","3","2","2","1","8","False"
"System4","2","2","0","1","5","False"
"System1","3","2","0","2","7","False"
"System10","3","1","3","1","8","False"
"System6","0","0","3","0","3","False"
"System10","3","2","2","0","7","False"
"System5","1","0","3","3","7","False"
"System4","3","3","0","1","7","False"
"System7","0","3","3","1","7","False"
"System7","2","1","0","0","3","False"
"System5","1","3","0","2","6","False"
"System5","0","2","3","3","8","False"
"System5","3","0","2","0","5","False"
"System10","1","3","3","1","8","False"
"System5","0","2","2","0","4","False"
"System1","1","2","2","2","7","False"
